name,annotations,codepoints
person bowing: dark skin tone,"apology, bow, dark skin tone, gesture, sorry","[128583, 127999]"
man bowing,"apology, bowing, favor, gesture, man, sorry","[128583, 8205, 9794, 65039]"
man bowing: light skin tone,"apology, bowing, favor, gesture, light skin tone, man, sorry","[128583, 127995, 8205, 9794, 65039]"
man bowing: medium-light skin tone,"apology, bowing, favor, gesture, man, medium-light skin tone, sorry","[128583, 127996, 8205, 9794, 65039]"
man bowing: medium skin tone,"apology, bowing, favor, gesture, man, medium skin tone, sorry","[128583, 127997, 8205, 9794, 65039]"
man bowing: medium-dark skin tone,"apology, bowing, favor, gesture, man, medium-dark skin tone, sorry","[128583, 127998, 8205, 9794, 65039]"
man bowing: dark skin tone,"apology, bowing, dark skin tone, favor, gesture, man, sorry","[128583, 127999, 8205, 9794, 65039]"
woman bowing,"apology, bowing, favor, gesture, sorry, woman","[128583, 8205, 9792, 65039]"
woman bowing: light skin tone,"apology, bowing, favor, gesture, light skin tone, sorry, woman","[128583, 127995, 8205, 9792, 65039]"
woman bowing: medium-light skin tone,"apology, bowing, favor, gesture, medium-light skin tone, sorry, woman","[128583, 127996, 8205, 9792, 65039]"
woman bowing: medium skin tone,"apology, bowing, favor, gesture, medium skin tone, sorry, woman","[128583, 127997, 8205, 9792, 65039]"
woman bowing: medium-dark skin tone,"apology, bowing, favor, gesture, medium-dark skin tone, sorry, woman","[128583, 127998, 8205, 9792, 65039]"
woman bowing: dark skin tone,"apology, bowing, dark skin tone, favor, gesture, sorry, woman","[128583, 127999, 8205, 9792, 65039]"
person facepalming,"disbelief, exasperation, face, palm",[129318]
person facepalming: light skin tone,"disbelief, exasperation, face, light skin tone, palm","[129318, 127995]"
person facepalming: medium-light skin tone,"disbelief, exasperation, face, medium-light skin tone, palm","[129318, 127996]"
person facepalming: medium skin tone,"disbelief, exasperation, face, medium skin tone, palm","[129318, 127997]"
person facepalming: medium-dark skin tone,"disbelief, exasperation, face, medium-dark skin tone, palm","[129318, 127998]"
person facepalming: dark skin tone,"dark skin tone, disbelief, exasperation, face, palm","[129318, 127999]"
man facepalming,"disbelief, exasperation, facepalm, man","[129318, 8205, 9794, 65039]"
man facepalming: light skin tone,"disbelief, exasperation, facepalm, light skin tone, man","[129318, 127995, 8205, 9794, 65039]"
man facepalming: medium-light skin tone,"disbelief, exasperation, facepalm, man, medium-light skin tone","[129318, 127996, 8205, 9794, 65039]"
man facepalming: medium skin tone,"disbelief, exasperation, facepalm, man, medium skin tone","[129318, 127997, 8205, 9794, 65039]"
man facepalming: medium-dark skin tone,"disbelief, exasperation, facepalm, man, medium-dark skin tone","[129318, 127998, 8205, 9794, 65039]"
man facepalming: dark skin tone,"dark skin tone, disbelief, exasperation, facepalm, man","[129318, 127999, 8205, 9794, 65039]"
woman facepalming,"disbelief, exasperation, facepalm, woman","[129318, 8205, 9792, 65039]"
woman facepalming: light skin tone,"disbelief, exasperation, facepalm, light skin tone, woman","[129318, 127995, 8205, 9792, 65039]"
woman facepalming: medium-light skin tone,"disbelief, exasperation, facepalm, medium-light skin tone, woman","[129318, 127996, 8205, 9792, 65039]"
woman facepalming: medium skin tone,"disbelief, exasperation, facepalm, medium skin tone, woman","[129318, 127997, 8205, 9792, 65039]"
woman facepalming: medium-dark skin tone,"disbelief, exasperation, facepalm, medium-dark skin tone, woman","[129318, 127998, 8205, 9792, 65039]"
woman facepalming: dark skin tone,"dark skin tone, disbelief, exasperation, facepalm, woman","[129318, 127999, 8205, 9792, 65039]"
person shrugging,"doubt, ignorance, indifference, shrug",[129335]
person shrugging: light skin tone,"doubt, ignorance, indifference, light skin tone, shrug","[129335, 127995]"
person shrugging: medium-light skin tone,"doubt, ignorance, indifference, medium-light skin tone, shrug","[129335, 127996]"
person shrugging: medium skin tone,"doubt, ignorance, indifference, medium skin tone, shrug","[129335, 127997]"
person shrugging: medium-dark skin tone,"doubt, ignorance, indifference, medium-dark skin tone, shrug","[129335, 127998]"
person shrugging: dark skin tone,"dark skin tone, doubt, ignorance, indifference, shrug","[129335, 127999]"
man shrugging,"doubt, ignorance, indifference, man, shrug","[129335, 8205, 9794, 65039]"
man shrugging: light skin tone,"doubt, ignorance, indifference, light skin tone, man, shrug","[129335, 127995, 8205, 9794, 65039]"
man shrugging: medium-light skin tone,"doubt, ignorance, indifference, man, medium-light skin tone, shrug","[129335, 127996, 8205, 9794, 65039]"
man shrugging: medium skin tone,"doubt, ignorance, indifference, man, medium skin tone, shrug","[129335, 127997, 8205, 9794, 65039]"
man shrugging: medium-dark skin tone,"doubt, ignorance, indifference, man, medium-dark skin tone, shrug","[129335, 127998, 8205, 9794, 65039]"
man shrugging: dark skin tone,"dark skin tone, doubt, ignorance, indifference, man, shrug","[129335, 127999, 8205, 9794, 65039]"
woman shrugging,"doubt, ignorance, indifference, shrug, woman","[129335, 8205, 9792, 65039]"
woman shrugging: light skin tone,"doubt, ignorance, indifference, light skin tone, shrug, woman","[129335, 127995, 8205, 9792, 65039]"
woman shrugging: medium-light skin tone,"doubt, ignorance, indifference, medium-light skin tone, shrug, woman","[129335, 127996, 8205, 9792, 65039]"
woman shrugging: medium skin tone,"doubt, ignorance, indifference, medium skin tone, shrug, woman","[129335, 127997, 8205, 9792, 65039]"
woman shrugging: medium-dark skin tone,"doubt, ignorance, indifference, medium-dark skin tone, shrug, woman","[129335, 127998, 8205, 9792, 65039]"
woman shrugging: dark skin tone,"dark skin tone, doubt, ignorance, indifference, shrug, woman","[129335, 127999, 8205, 9792, 65039]"
person getting massage,"face, massage, salon",[128134]
person getting massage: light skin tone,"face, light skin tone, massage, salon","[128134, 127995]"
person getting massage: medium-light skin tone,"face, massage, medium-light skin tone, salon","[128134, 127996]"
person getting massage: medium skin tone,"face, massage, medium skin tone, salon","[128134, 127997]"
person getting massage: medium-dark skin tone,"face, massage, medium-dark skin tone, salon","[128134, 127998]"
person getting massage: dark skin tone,"dark skin tone, face, massage, salon","[128134, 127999]"
man getting massage,"face, man, massage","[128134, 8205, 9794, 65039]"
man getting massage: light skin tone,"face, light skin tone, man, massage","[128134, 127995, 8205, 9794, 65039]"
man getting massage: medium-light skin tone,"face, man, massage, medium-light skin tone","[128134, 127996, 8205, 9794, 65039]"
man getting massage: medium skin tone,"face, man, massage, medium skin tone","[128134, 127997, 8205, 9794, 65039]"
man getting massage: medium-dark skin tone,"face, man, massage, medium-dark skin tone","[128134, 127998, 8205, 9794, 65039]"
man getting massage: dark skin tone,"dark skin tone, face, man, massage","[128134, 127999, 8205, 9794, 65039]"
woman getting massage,"face, massage, woman","[128134, 8205, 9792, 65039]"
woman getting massage: light skin tone,"face, light skin tone, massage, woman","[128134, 127995, 8205, 9792, 65039]"
woman getting massage: medium-light skin tone,"face, massage, medium-light skin tone, woman","[128134, 127996, 8205, 9792, 65039]"
woman getting massage: medium skin tone,"face, massage, medium skin tone, woman","[128134, 127997, 8205, 9792, 65039]"
woman getting massage: medium-dark skin tone,"face, massage, medium-dark skin tone, woman","[128134, 127998, 8205, 9792, 65039]"
woman getting massage: dark skin tone,"dark skin tone, face, massage, woman","[128134, 127999, 8205, 9792, 65039]"
person getting haircut,"barber, beauty, haircut, parlor",[128135]
person getting haircut: light skin tone,"barber, beauty, haircut, light skin tone, parlor","[128135, 127995]"
person getting haircut: medium-light skin tone,"barber, beauty, haircut, medium-light skin tone, parlor","[128135, 127996]"
person getting haircut: medium skin tone,"barber, beauty, haircut, medium skin tone, parlor","[128135, 127997]"
person getting haircut: medium-dark skin tone,"barber, beauty, haircut, medium-dark skin tone, parlor","[128135, 127998]"
person getting haircut: dark skin tone,"barber, beauty, dark skin tone, haircut, parlor","[128135, 127999]"
man getting haircut,"haircut, man","[128135, 8205, 9794, 65039]"
man getting haircut: light skin tone,"haircut, light skin tone, man","[128135, 127995, 8205, 9794, 65039]"
man getting haircut: medium-light skin tone,"haircut, man, medium-light skin tone","[128135, 127996, 8205, 9794, 65039]"
man getting haircut: medium skin tone,"haircut, man, medium skin tone","[128135, 127997, 8205, 9794, 65039]"
man getting haircut: medium-dark skin tone,"haircut, man, medium-dark skin tone","[128135, 127998, 8205, 9794, 65039]"
man getting haircut: dark skin tone,"dark skin tone, haircut, man","[128135, 127999, 8205, 9794, 65039]"
woman getting haircut,"haircut, woman","[128135, 8205, 9792, 65039]"
woman getting haircut: light skin tone,"haircut, light skin tone, woman","[128135, 127995, 8205, 9792, 65039]"
woman getting haircut: medium-light skin tone,"haircut, medium-light skin tone, woman","[128135, 127996, 8205, 9792, 65039]"
woman getting haircut: medium skin tone,"haircut, medium skin tone, woman","[128135, 127997, 8205, 9792, 65039]"
woman getting haircut: medium-dark skin tone,"haircut, medium-dark skin tone, woman","[128135, 127998, 8205, 9792, 65039]"
woman getting haircut: dark skin tone,"dark skin tone, haircut, woman","[128135, 127999, 8205, 9792, 65039]"
person walking,"hike, walk, walking",[128694]
person walking: light skin tone,"hike, light skin tone, walk, walking","[128694, 127995]"
person walking: medium-light skin tone,"hike, medium-light skin tone, walk, walking","[128694, 127996]"
person walking: medium skin tone,"hike, medium skin tone, walk, walking","[128694, 127997]"
person walking: medium-dark skin tone,"hike, medium-dark skin tone, walk, walking","[128694, 127998]"
person walking: dark skin tone,"dark skin tone, hike, walk, walking","[128694, 127999]"
man walking,"hike, man, walk","[128694, 8205, 9794, 65039]"
man walking: light skin tone,"hike, light skin tone, man, walk","[128694, 127995, 8205, 9794, 65039]"
man walking: medium-light skin tone,"hike, man, medium-light skin tone, walk","[128694, 127996, 8205, 9794, 65039]"
man walking: medium skin tone,"hike, man, medium skin tone, walk","[128694, 127997, 8205, 9794, 65039]"
man walking: medium-dark skin tone,"hike, man, medium-dark skin tone, walk","[128694, 127998, 8205, 9794, 65039]"
man walking: dark skin tone,"dark skin tone, hike, man, walk","[128694, 127999, 8205, 9794, 65039]"
woman walking,"hike, walk, woman","[128694, 8205, 9792, 65039]"
woman walking: light skin tone,"hike, light skin tone, walk, woman","[128694, 127995, 8205, 9792, 65039]"
woman walking: medium-light skin tone,"hike, medium-light skin tone, walk, woman","[128694, 127996, 8205, 9792, 65039]"
woman walking: medium skin tone,"hike, medium skin tone, walk, woman","[128694, 127997, 8205, 9792, 65039]"
woman walking: medium-dark skin tone,"hike, medium-dark skin tone, walk, woman","[128694, 127998, 8205, 9792, 65039]"
woman walking: dark skin tone,"dark skin tone, hike, walk, woman","[128694, 127999, 8205, 9792, 65039]"
person running,"marathon, running",[127939]
person running: light skin tone,"light skin tone, marathon, running","[127939, 127995]"
person running: medium-light skin tone,"marathon, medium-light skin tone, running","[127939, 127996]"
person running: medium skin tone,"marathon, medium skin tone, running","[127939, 127997]"
person running: medium-dark skin tone,"marathon, medium-dark skin tone, running","[127939, 127998]"
person running: dark skin tone,"dark skin tone, marathon, running","[127939, 127999]"
man running,"man, marathon, racing, running","[127939, 8205, 9794, 65039]"
man running: light skin tone,"light skin tone, man, marathon, racing, running","[127939, 127995, 8205, 9794, 65039]"
man running: medium-light skin tone,"man, marathon, medium-light skin tone, racing, running","[127939, 127996, 8205, 9794, 65039]"
man running: medium skin tone,"man, marathon, medium skin tone, racing, running","[127939, 127997, 8205, 9794, 65039]"
man running: medium-dark skin tone,"man, marathon, medium-dark skin tone, racing, running","[127939, 127998, 8205, 9794, 65039]"
man running: dark skin tone,"dark skin tone, man, marathon, racing, running","[127939, 127999, 8205, 9794, 65039]"
woman running,"marathon, racing, running, woman","[127939, 8205, 9792, 65039]"
woman running: light skin tone,"light skin tone, marathon, racing, running, woman","[127939, 127995, 8205, 9792, 65039]"
woman running: medium-light skin tone,"marathon, medium-light skin tone, racing, running, woman","[127939, 127996, 8205, 9792, 65039]"
woman running: medium skin tone,"marathon, medium skin tone, racing, running, woman","[127939, 127997, 8205, 9792, 65039]"
woman running: medium-dark skin tone,"marathon, medium-dark skin tone, racing, running, woman","[127939, 127998, 8205, 9792, 65039]"
woman running: dark skin tone,"dark skin tone, marathon, racing, running, woman","[127939, 127999, 8205, 9792, 65039]"
woman dancing,"dancing, woman",[128131]
woman dancing: light skin tone,"dancing, light skin tone, woman","[128131, 127995]"
woman dancing: medium-light skin tone,"dancing, medium-light skin tone, woman","[128131, 127996]"
woman dancing: medium skin tone,"dancing, medium skin tone, woman","[128131, 127997]"
woman dancing: medium-dark skin tone,"dancing, medium-dark skin tone, woman","[128131, 127998]"
woman dancing: dark skin tone,"dancing, dark skin tone, woman","[128131, 127999]"
man dancing,"dance, man",[128378]
man dancing: light skin tone,"dance, light skin tone, man","[128378, 127995]"
man dancing: medium-light skin tone,"dance, man, medium-light skin tone","[128378, 127996]"
man dancing: medium skin tone,"dance, man, medium skin tone","[128378, 127997]"
man dancing: medium-dark skin tone,"dance, man, medium-dark skin tone","[128378, 127998]"
man dancing: dark skin tone,"dance, dark skin tone, man","[128378, 127999]"
people with bunny ears partying,"bunny ear, dancer, partying",[128111]
people with bunny ears partying: light skin tone,"bunny ear, dancer, light skin tone, partying","[128111, 127995]"
people with bunny ears partying: medium-light skin tone,"bunny ear, dancer, medium-light skin tone, partying","[128111, 127996]"
people with bunny ears partying: medium skin tone,"bunny ear, dancer, medium skin tone, partying","[128111, 127997]"
people with bunny ears partying: medium-dark skin tone,"bunny ear, dancer, medium-dark skin tone, partying","[128111, 127998]"
people with bunny ears partying: dark skin tone,"bunny ear, dancer, dark skin tone, partying","[128111, 127999]"
men with bunny ears partying,"bunny ear, dancer, men, partying","[128111, 8205, 9794, 65039]"
men with bunny ears partying: light skin tone,"bunny ear, dancer, light skin tone, men, partying","[128111, 127995, 8205, 9794, 65039]"
men with bunny ears partying: medium-light skin tone,"bunny ear, dancer, medium-light skin tone, men, partying","[128111, 127996, 8205, 9794, 65039]"
men with bunny ears partying: medium skin tone,"bunny ear, dancer, medium skin tone, men, partying","[128111, 127997, 8205, 9794, 65039]"
men with bunny ears partying: medium-dark skin tone,"bunny ear, dancer, medium-dark skin tone, men, partying","[128111, 127998, 8205, 9794, 65039]"
men with bunny ears partying: dark skin tone,"bunny ear, dancer, dark skin tone, men, partying","[128111, 127999, 8205, 9794, 65039]"
women with bunny ears partying,"bunny ear, dancer, partying, women","[128111, 8205, 9792, 65039]"
women with bunny ears partying: light skin tone,"bunny ear, dancer, light skin tone, partying, women","[128111, 127995, 8205, 9792, 65039]"
women with bunny ears partying: medium-light skin tone,"bunny ear, dancer, medium-light skin tone, partying, women","[128111, 127996, 8205, 9792, 65039]"
women with bunny ears partying: medium skin tone,"bunny ear, dancer, medium skin tone, partying, women","[128111, 127997, 8205, 9792, 65039]"
women with bunny ears partying: medium-dark skin tone,"bunny ear, dancer, medium-dark skin tone, partying, women","[128111, 127998, 8205, 9792, 65039]"
women with bunny ears partying: dark skin tone,"bunny ear, dancer, dark skin tone, partying, women","[128111, 127999, 8205, 9792, 65039]"
man in business suit levitating,"business, man, suit",[128372]
man in business suit levitating: light skin tone,"business, light skin tone, man, suit","[128372, 127995]"
man in business suit levitating: medium-light skin tone,"business, man, medium-light skin tone, suit","[128372, 127996]"
man in business suit levitating: medium skin tone,"business, man, medium skin tone, suit","[128372, 127997]"
man in business suit levitating: medium-dark skin tone,"business, man, medium-dark skin tone, suit","[128372, 127998]"
man in business suit levitating: dark skin tone,"business, dark skin tone, man, suit","[128372, 127999]"
speaking head,"face, head, silhouette, speak, speaking",[128483]
bust in silhouette,"bust, silhouette",[128100]
busts in silhouette,"bust, silhouette",[128101]
person fencing,"fencer, fencing, sword",[129338]
horse racing,"horse, jockey, racehorse, racing",[127943]
horse racing: light skin tone,"horse, jockey, light skin tone, racehorse, racing","[127943, 127995]"
horse racing: medium-light skin tone,"horse, jockey, medium-light skin tone, racehorse, racing","[127943, 127996]"
horse racing: medium skin tone,"horse, jockey, medium skin tone, racehorse, racing","[127943, 127997]"
horse racing: medium-dark skin tone,"horse, jockey, medium-dark skin tone, racehorse, racing","[127943, 127998]"
horse racing: dark skin tone,"dark skin tone, horse, jockey, racehorse, racing","[127943, 127999]"
skier,"ski, snow",[9975]
snowboarder,"ski, snow, snowboard",[127938]
snowboarder: light skin tone,"light skin tone, ski, snow, snowboard","[127938, 127995]"
snowboarder: medium-light skin tone,"medium-light skin tone, ski, snow, snowboard","[127938, 127996]"
snowboarder: medium skin tone,"medium skin tone, ski, snow, snowboard","[127938, 127997]"
snowboarder: medium-dark skin tone,"medium-dark skin tone, ski, snow, snowboard","[127938, 127998]"
snowboarder: dark skin tone,"dark skin tone, ski, snow, snowboard","[127938, 127999]"
person golfing,"ball, golf",[127948]
person golfing: light skin tone,"ball, golf, light skin tone","[127948, 127995]"
person golfing: medium-light skin tone,"ball, golf, medium-light skin tone","[127948, 127996]"
person golfing: medium skin tone,"ball, golf, medium skin tone","[127948, 127997]"
person golfing: medium-dark skin tone,"ball, golf, medium-dark skin tone","[127948, 127998]"
person golfing: dark skin tone,"ball, dark skin tone, golf","[127948, 127999]"
man golfing,"golf, man","[127948, 65039, 8205, 9794, 65039]"
man golfing: light skin tone,"golf, light skin tone, man","[127948, 127995, 8205, 9794, 65039]"
man golfing: medium-light skin tone,"golf, man, medium-light skin tone","[127948, 127996, 8205, 9794, 65039]"
man golfing: medium skin tone,"golf, man, medium skin tone","[127948, 127997, 8205, 9794, 65039]"
man golfing: medium-dark skin tone,"golf, man, medium-dark skin tone","[127948, 127998, 8205, 9794, 65039]"
man golfing: dark skin tone,"dark skin tone, golf, man","[127948, 127999, 8205, 9794, 65039]"
woman golfing,"golf, woman","[127948, 65039, 8205, 9792, 65039]"
woman golfing: light skin tone,"golf, light skin tone, woman","[127948, 127995, 8205, 9792, 65039]"
woman golfing: medium-light skin tone,"golf, medium-light skin tone, woman","[127948, 127996, 8205, 9792, 65039]"
woman golfing: medium skin tone,"golf, medium skin tone, woman","[127948, 127997, 8205, 9792, 65039]"
woman golfing: medium-dark skin tone,"golf, medium-dark skin tone, woman","[127948, 127998, 8205, 9792, 65039]"
woman golfing: dark skin tone,"dark skin tone, golf, woman","[127948, 127999, 8205, 9792, 65039]"
person surfing,surfing,[127940]
person surfing: light skin tone,"light skin tone, surfing","[127940, 127995]"
person surfing: medium-light skin tone,"medium-light skin tone, surfing","[127940, 127996]"
person surfing: medium skin tone,"medium skin tone, surfing","[127940, 127997]"
person surfing: medium-dark skin tone,"medium-dark skin tone, surfing","[127940, 127998]"
person surfing: dark skin tone,"dark skin tone, surfing","[127940, 127999]"
man surfing,"man, surfing","[127940, 8205, 9794, 65039]"
man surfing: light skin tone,"light skin tone, man, surfing","[127940, 127995, 8205, 9794, 65039]"
man surfing: medium-light skin tone,"man, medium-light skin tone, surfing","[127940, 127996, 8205, 9794, 65039]"
man surfing: medium skin tone,"man, medium skin tone, surfing","[127940, 127997, 8205, 9794, 65039]"
man surfing: medium-dark skin tone,"man, medium-dark skin tone, surfing","[127940, 127998, 8205, 9794, 65039]"
man surfing: dark skin tone,"dark skin tone, man, surfing","[127940, 127999, 8205, 9794, 65039]"
woman surfing,"surfing, woman","[127940, 8205, 9792, 65039]"
woman surfing: light skin tone,"light skin tone, surfing, woman","[127940, 127995, 8205, 9792, 65039]"
woman surfing: medium-light skin tone,"medium-light skin tone, surfing, woman","[127940, 127996, 8205, 9792, 65039]"
woman surfing: medium skin tone,"medium skin tone, surfing, woman","[127940, 127997, 8205, 9792, 65039]"
woman surfing: medium-dark skin tone,"medium-dark skin tone, surfing, woman","[127940, 127998, 8205, 9792, 65039]"
woman surfing: dark skin tone,"dark skin tone, surfing, woman","[127940, 127999, 8205, 9792, 65039]"
person rowing boat,"boat, rowboat",[128675]
person rowing boat: light skin tone,"boat, light skin tone, rowboat","[128675, 127995]"
person rowing boat: medium-light skin tone,"boat, medium-light skin tone, rowboat","[128675, 127996]"
person rowing boat: medium skin tone,"boat, medium skin tone, rowboat","[128675, 127997]"
person rowing boat: medium-dark skin tone,"boat, medium-dark skin tone, rowboat","[128675, 127998]"
person rowing boat: dark skin tone,"boat, dark skin tone, rowboat","[128675, 127999]"
man rowing boat,"boat, man, rowboat","[128675, 8205, 9794, 65039]"
man rowing boat: light skin tone,"boat, light skin tone, man, rowboat","[128675, 127995, 8205, 9794, 65039]"
man rowing boat: medium-light skin tone,"boat, man, medium-light skin tone, rowboat","[128675, 127996, 8205, 9794, 65039]"
man rowing boat: medium skin tone,"boat, man, medium skin tone, rowboat","[128675, 127997, 8205, 9794, 65039]"
man rowing boat: medium-dark skin tone,"boat, man, medium-dark skin tone, rowboat","[128675, 127998, 8205, 9794, 65039]"
man rowing boat: dark skin tone,"boat, dark skin tone, man, rowboat","[128675, 127999, 8205, 9794, 65039]"
woman rowing boat,"boat, rowboat, woman","[128675, 8205, 9792, 65039]"
woman rowing boat: light skin tone,"boat, light skin tone, rowboat, woman","[128675, 127995, 8205, 9792, 65039]"
woman rowing boat: medium-light skin tone,"boat, medium-light skin tone, rowboat, woman","[128675, 127996, 8205, 9792, 65039]"
woman rowing boat: medium skin tone,"boat, medium skin tone, rowboat, woman","[128675, 127997, 8205, 9792, 65039]"
woman rowing boat: medium-dark skin tone,"boat, medium-dark skin tone, rowboat, woman","[128675, 127998, 8205, 9792, 65039]"
woman rowing boat: dark skin tone,"boat, dark skin tone, rowboat, woman","[128675, 127999, 8205, 9792, 65039]"
person swimming,swim,[127946]
person swimming: light skin tone,"light skin tone, swim","[127946, 127995]"
person swimming: medium-light skin tone,"medium-light skin tone, swim","[127946, 127996]"
person swimming: medium skin tone,"medium skin tone, swim","[127946, 127997]"
person swimming: medium-dark skin tone,"medium-dark skin tone, swim","[127946, 127998]"
person swimming: dark skin tone,"dark skin tone, swim","[127946, 127999]"
man swimming,"man, swim","[127946, 8205, 9794, 65039]"
man swimming: light skin tone,"light skin tone, man, swim","[127946, 127995, 8205, 9794, 65039]"
man swimming: medium-light skin tone,"man, medium-light skin tone, swim","[127946, 127996, 8205, 9794, 65039]"
man swimming: medium skin tone,"man, medium skin tone, swim","[127946, 127997, 8205, 9794, 65039]"
man swimming: medium-dark skin tone,"man, medium-dark skin tone, swim","[127946, 127998, 8205, 9794, 65039]"
man swimming: dark skin tone,"dark skin tone, man, swim","[127946, 127999, 8205, 9794, 65039]"
woman swimming,"swim, woman","[127946, 8205, 9792, 65039]"
woman swimming: light skin tone,"light skin tone, swim, woman","[127946, 127995, 8205, 9792, 65039]"
woman swimming: medium-light skin tone,"medium-light skin tone, swim, woman","[127946, 127996, 8205, 9792, 65039]"
woman swimming: medium skin tone,"medium skin tone, swim, woman","[127946, 127997, 8205, 9792, 65039]"
woman swimming: medium-dark skin tone,"medium-dark skin tone, swim, woman","[127946, 127998, 8205, 9792, 65039]"
woman swimming: dark skin tone,"dark skin tone, swim, woman","[127946, 127999, 8205, 9792, 65039]"
person bouncing ball,ball,[9977]
person bouncing ball: light skin tone,"ball, light skin tone","[9977, 127995]"
person bouncing ball: medium-light skin tone,"ball, medium-light skin tone","[9977, 127996]"
person bouncing ball: medium skin tone,"ball, medium skin tone","[9977, 127997]"
person bouncing ball: medium-dark skin tone,"ball, medium-dark skin tone","[9977, 127998]"
person bouncing ball: dark skin tone,"ball, dark skin tone","[9977, 127999]"
man bouncing ball,"ball, man","[9977, 65039, 8205, 9794, 65039]"
man bouncing ball: light skin tone,"ball, light skin tone, man","[9977, 127995, 8205, 9794, 65039]"
man bouncing ball: medium-light skin tone,"ball, man, medium-light skin tone","[9977, 127996, 8205, 9794, 65039]"
man bouncing ball: medium skin tone,"ball, man, medium skin tone","[9977, 127997, 8205, 9794, 65039]"
man bouncing ball: medium-dark skin tone,"ball, man, medium-dark skin tone","[9977, 127998, 8205, 9794, 65039]"
man bouncing ball: dark skin tone,"ball, dark skin tone, man","[9977, 127999, 8205, 9794, 65039]"
woman bouncing ball,"ball, woman","[9977, 65039, 8205, 9792, 65039]"
woman bouncing ball: light skin tone,"ball, light skin tone, woman","[9977, 127995, 8205, 9792, 65039]"
woman bouncing ball: medium-light skin tone,"ball, medium-light skin tone, woman","[9977, 127996, 8205, 9792, 65039]"
woman bouncing ball: medium skin tone,"ball, medium skin tone, woman","[9977, 127997, 8205, 9792, 65039]"
woman bouncing ball: medium-dark skin tone,"ball, medium-dark skin tone, woman","[9977, 127998, 8205, 9792, 65039]"
woman bouncing ball: dark skin tone,"ball, dark skin tone, woman","[9977, 127999, 8205, 9792, 65039]"
person lifting weights,"lifter, weight",[127947]
person lifting weights: light skin tone,"lifter, light skin tone, weight","[127947, 127995]"
person lifting weights: medium-light skin tone,"lifter, medium-light skin tone, weight","[127947, 127996]"
person lifting weights: medium skin tone,"lifter, medium skin tone, weight","[127947, 127997]"
person lifting weights: medium-dark skin tone,"lifter, medium-dark skin tone, weight","[127947, 127998]"
person lifting weights: dark skin tone,"dark skin tone, lifter, weight","[127947, 127999]"
man lifting weights,"man, weight lifter","[127947, 65039, 8205, 9794, 65039]"
man lifting weights: light skin tone,"light skin tone, man, weight lifter","[127947, 127995, 8205, 9794, 65039]"
man lifting weights: medium-light skin tone,"man, medium-light skin tone, weight lifter","[127947, 127996, 8205, 9794, 65039]"
man lifting weights: medium skin tone,"man, medium skin tone, weight lifter","[127947, 127997, 8205, 9794, 65039]"
man lifting weights: medium-dark skin tone,"man, medium-dark skin tone, weight lifter","[127947, 127998, 8205, 9794, 65039]"
man lifting weights: dark skin tone,"dark skin tone, man, weight lifter","[127947, 127999, 8205, 9794, 65039]"
woman lifting weights,"weight lifter, woman","[127947, 65039, 8205, 9792, 65039]"
woman lifting weights: light skin tone,"light skin tone, weight lifter, woman","[127947, 127995, 8205, 9792, 65039]"
woman lifting weights: medium-light skin tone,"medium-light skin tone, weight lifter, woman","[127947, 127996, 8205, 9792, 65039]"
woman lifting weights: medium skin tone,"medium skin tone, weight lifter, woman","[127947, 127997, 8205, 9792, 65039]"
woman lifting weights: medium-dark skin tone,"medium-dark skin tone, weight lifter, woman","[127947, 127998, 8205, 9792, 65039]"
woman lifting weights: dark skin tone,"dark skin tone, weight lifter, woman","[127947, 127999, 8205, 9792, 65039]"
person biking,"bicycle, biking, cyclist",[128692]
person biking: light skin tone,"bicycle, biking, cyclist, light skin tone","[128692, 127995]"
person biking: medium-light skin tone,"bicycle, biking, cyclist, medium-light skin tone","[128692, 127996]"
person biking: medium skin tone,"bicycle, biking, cyclist, medium skin tone","[128692, 127997]"
person biking: medium-dark skin tone,"bicycle, biking, cyclist, medium-dark skin tone","[128692, 127998]"
person biking: dark skin tone,"bicycle, biking, cyclist, dark skin tone","[128692, 127999]"
man biking,"bicycle, biking, cyclist, man","[128692, 8205, 9794, 65039]"
man biking: light skin tone,"bicycle, biking, cyclist, light skin tone, man","[128692, 127995, 8205, 9794, 65039]"
man biking: medium-light skin tone,"bicycle, biking, cyclist, man, medium-light skin tone","[128692, 127996, 8205, 9794, 65039]"
man biking: medium skin tone,"bicycle, biking, cyclist, man, medium skin tone","[128692, 127997, 8205, 9794, 65039]"
man biking: medium-dark skin tone,"bicycle, biking, cyclist, man, medium-dark skin tone","[128692, 127998, 8205, 9794, 65039]"
man biking: dark skin tone,"bicycle, biking, cyclist, dark skin tone, man","[128692, 127999, 8205, 9794, 65039]"
woman biking,"bicycle, biking, cyclist, woman","[128692, 8205, 9792, 65039]"
woman biking: light skin tone,"bicycle, biking, cyclist, light skin tone, woman","[128692, 127995, 8205, 9792, 65039]"
woman biking: medium-light skin tone,"bicycle, biking, cyclist, medium-light skin tone, woman","[128692, 127996, 8205, 9792, 65039]"
woman biking: medium skin tone,"bicycle, biking, cyclist, medium skin tone, woman","[128692, 127997, 8205, 9792, 65039]"
woman biking: medium-dark skin tone,"bicycle, biking, cyclist, medium-dark skin tone, woman","[128692, 127998, 8205, 9792, 65039]"
