name,annotations,codepoints
woman construction worker,"construction, woman, worker","[128119, 8205, 9792, 65039]"
woman construction worker: light skin tone,"construction, light skin tone, woman, worker","[128119, 127995, 8205, 9792, 65039]"
woman construction worker: medium-light skin tone,"construction, medium-light skin tone, woman, worker","[128119, 127996, 8205, 9792, 65039]"
woman construction worker: medium skin tone,"construction, medium skin tone, woman, worker","[128119, 127997, 8205, 9792, 65039]"
woman construction worker: medium-dark skin tone,"construction, medium-dark skin tone, woman, worker","[128119, 127998, 8205, 9792, 65039]"
woman construction worker: dark skin tone,"construction, dark skin tone, woman, worker","[128119, 127999, 8205, 9792, 65039]"
person wearing turban,turban,[128115]
person wearing turban: light skin tone,"light skin tone, turban","[128115, 127995]"
person wearing turban: medium-light skin tone,"medium-light skin tone, turban","[128115, 127996]"
person wearing turban: medium skin tone,"medium skin tone, turban","[128115, 127997]"
person wearing turban: medium-dark skin tone,"medium-dark skin tone, turban","[128115, 127998]"
person wearing turban: dark skin tone,"dark skin tone, turban","[128115, 127999]"
man wearing turban,"man, turban","[128115, 8205, 9794, 65039]"
man wearing turban: light skin tone,"light skin tone, man, turban","[128115, 127995, 8205, 9794, 65039]"
man wearing turban: medium-light skin tone,"man, medium-light skin tone, turban","[128115, 127996, 8205, 9794, 65039]"
man wearing turban: medium skin tone,"man, medium skin tone, turban","[128115, 127997, 8205, 9794, 65039]"
man wearing turban: medium-dark skin tone,"man, medium-dark skin tone, turban","[128115, 127998, 8205, 9794, 65039]"
man wearing turban: dark skin tone,"dark skin tone, man, turban","[128115, 127999, 8205, 9794, 65039]"
woman wearing turban,"turban, woman","[128115, 8205, 9792, 65039]"
woman wearing turban: light skin tone,"light skin tone, turban, woman","[128115, 127995, 8205, 9792, 65039]"
woman wearing turban: medium-light skin tone,"medium-light skin tone, turban, woman","[128115, 127996, 8205, 9792, 65039]"
woman wearing turban: medium skin tone,"medium skin tone, turban, woman","[128115, 127997, 8205, 9792, 65039]"
woman wearing turban: medium-dark skin tone,"medium-dark skin tone, turban, woman","[128115, 127998, 8205, 9792, 65039]"
woman wearing turban: dark skin tone,"dark skin tone, turban, woman","[128115, 127999, 8205, 9792, 65039]"
blond-haired person,blond,[128113]
blond-haired person: light skin tone,"blond, light skin tone","[128113, 127995]"
blond-haired person: medium-light skin tone,"blond, medium-light skin tone","[128113, 127996]"
blond-haired person: medium skin tone,"blond, medium skin tone","[128113, 127997]"
blond-haired person: medium-dark skin tone,"blond, medium-dark skin tone","[128113, 127998]"
blond-haired person: dark skin tone,"blond, dark skin tone","[128113, 127999]"
blond-haired man,"blond, man","[128113, 8205, 9794, 65039]"
blond-haired man: light skin tone,"blond, light skin tone, man","[128113, 127995, 8205, 9794, 65039]"
blond-haired man: medium-light skin tone,"blond, man, medium-light skin tone","[128113, 127996, 8205, 9794, 65039]"
blond-haired man: medium skin tone,"blond, man, medium skin tone","[128113, 127997, 8205, 9794, 65039]"
blond-haired man: medium-dark skin tone,"blond, man, medium-dark skin tone","[128113, 127998, 8205, 9794, 65039]"
blond-haired man: dark skin tone,"blond, dark skin tone, man","[128113, 127999, 8205, 9794, 65039]"
blond-haired woman,"blonde, woman","[128113, 8205, 9792, 65039]"
