name,annotations,codepoints,emoji,synonyms
growing heart,"excited, growing, nervous, pulse",[128151],💗,"love, heart, hearts"
blue heart,blue,[128153],💙,"love, heart, hearts, blue"
green heart,green,[128154],💚,"love, heart, hearts, green"
yellow heart,yellow,[128155],💛,"love, heart, hearts, yellow"
purple heart,purple,[128156],💜,"love, heart, hearts, purple, violet"
black heart,"black, evil, wicked",[128420],🖤,"evil, wicked"
heart with ribbon,"ribbon, valentine",[128157],💝,"love, heart, hearts"
revolving hearts,revolving,[128158],💞,"love, heart, hearts"
heart decoration,heart,[128159],💟,"love, heart, hearts"
heavy heart exclamation,"exclamation, mark, punctuation",[10083],❣,heavy heart
love letter,"heart, letter, love, mail",[128140],💌,"love, heart, hearts, letter, love letter, mail"
zzz,"comic, sleep",[128164],💤,"sleep, sleepy, nap, napping, napped, asleep, dozing, dozed"
anger symbol,"angry, comic, mad",[128162],💢,"anger, angry, mad, enraged"
bomb,comic,[128163],💣,"bomb, boom, explosive"
collision,"boom, comic",[128165],💥,"boom, explosion, collision"
sweat droplets,"comic, splashing, sweat",[128166],💦,"water, drops, droplet, sweat, splash, splashing"
dashing away,"comic, dash, running",[128168],💨,"dash, dashing, running"
dizzy,"comic, star",[128171],💫,"star, dizzy"
speech balloon,"balloon, bubble, comic, dialog, speech",[128172],💬,"speech balloon, speech, talking"
left speech bubble,"dialog, speech",[128488],🗨,"speech balloon, speech, talking"
right anger bubble,"angry, balloon, bubble, mad",[128495],🗯,"angry, anger, mad"
thought balloon,"balloon, bubble, comic, thought",[128173],💭,"thought, thinking, thought balloon, wondering, pondering"
hole,hole,[128371],🕳,hole
glasses,"clothing, eye, eyeglasses, eyewear",[128083],👓,"glasses, eyeglasses, eyewear"
sunglasses,"dark, eye, eyewear, glasses",[128374],🕶,"sunglasses, eyewear"
necktie,clothing,[128084],👔,"shirt, tie, necktie"
t-shirt,"clothing, shirt, tshirt",[128085],👕,"shirt, t-shirt, tee"
jeans,"clothing, pants, trousers",[128086],👖,"jeans, pants, trousers"
dress,clothing,[128087],👗,"dress, gown, frock"
kimono,clothing,[128088],👘,kimono
bikini,"clothing, swim",[128089],👙,"bikini, swimsuit"
womans clothes,"clothing, woman",[128090],👚,"blouse, shirt"
purse,"clothing, coin",[128091],👛,"purse, coin, money, wallet"
handbag,"bag, clothing, purse",[128092],👜,"purse, handbag, bag, tote"
clutch bag,"bag, clothing, pouch",[128093],👝,"clutch, handbag, bag"
shopping bags,"bag, hotel, shopping",[128717],🛍,"shopping bag, shopping bags, bags"
school backpack,"bag, satchel, school",[127890],🎒,"backpack, satchel, bag, bags"
mans shoe,"clothing, man, shoe",[128094],👞,"shoe, man's shoe, loafer, shoes"
running shoe,"athletic, clothing, shoe, sneaker",[128095],👟,"running shoe, shoe, athletic shoe, shoes"
high-heeled shoe,"clothing, heel, shoe, woman",[128096],👠,"pump, shoe, woman's shoe, high heel, shoes"
womans sandal,"clothing, sandal, shoe, woman",[128097],👡,"shoe, sandal, shoes"
womans boot,"boot, clothing, shoe, woman",[128098],👢,"boot, shoe, shoes, boot"
crown,"clothing, king, queen",[128081],👑,"crown, king, queen, prince, princess, royal, royalty, win"
womans hat,"clothing, hat, woman",[128082],👒,"hat, hats"
top hat,"clothing, hat, top, tophat",[127913],🎩,"hat, hats, tophat"
graduation cap,"cap, celebration, clothing, graduation, hat",[127891],🎓,"graduation cap, graduation, graduate"
rescue workers helmet,"aid, cross, face, hat, helmet",[9937],⛑,helmet
prayer beads,"beads, clothing, necklace, prayer, religion",[128255],📿,"prayer beads, beads, prayer, pray"
lipstick,"cosmetics, makeup",[128132],💄,"lipstick, makeup, cosmetics"
ring,diamond,[128141],💍,"ring, diamond, jewelry"
gem stone,"diamond, gem, jewel",[128142],💎,"diamond, gem, jewel, jewelry"
monkey face,"face, monkey",[128053],🐵,"monkey, animal, monkeys"
monkey,monkey,[128018],🐒,"monkey, animal, monkeys"
gorilla,gorilla,[129421],🦍,"gorilla, gorillas, animal"
dog face,"dog, face, pet",[128054],🐶,"dog, animal, dogs, pet"
dog,pet,[128021],🐕,"dog, animal, dogs, pet"
poodle,dog,[128041],🐩,"dog, animal, dogs, pet, poodle"
wolf face,"face, wolf",[128058],🐺,"wolf, animal, wolves"
fox face,"face, fox",[129418],🦊,"fox, animal, foxes"
cat face,"cat, face, pet",[128049],🐱,"cat, cat face, pet, cats, kitten, kittens"
cat,pet,[128008],🐈,"cat, pet, cats"
lion face,"face, leo, lion, zodiac",[129409],🦁,"lion, animal, lions"
tiger face,"face, tiger",[128047],🐯,"tiger, animal, tigers"
tiger,tiger,[128005],🐅,"tiger, animal, tigers"
leopard,leopard,[128006],🐆,"leopard, animal, leopards"
horse face,"face, horse",[128052],🐴,"horse, horse face, horses, equine, equestrian"
horse,"equestrian, racehorse, racing",[128014],🐎,"horse, horses, equine, equestrian, racehorse"
deer,deer,[129420],🦌,"deer, animal, deers, doe"
unicorn face,"face, unicorn",[129412],🦄,"unicorn, magic, unicorns"
cow face,"cow, face",[128046],🐮,"cow, cow face, animal"
ox,"bull, taurus, zodiac",[128002],🐂,"bull, bulls, cattle, taurus, animal"
water buffalo,"buffalo, water",[128003],🐃,"buffalo, water buffalo, animal"
cow,cow,[128004],🐄,"cow, animal"
pig face,"face, pig",[128055],🐷,"pig, pig face, animal"
pig,sow,[128022],🐖,"pig, sow, animal"
boar,pig,[128023],🐗,"boar, animal"
pig nose,"face, nose, pig",[128061],🐽,"pig nose, nose"
ram,"aries, sheep, zodiac",[128015],🐏,"ram, sheep, ewe, aries, animal"
sheep,ewe,[128017],🐑,"sheep, ewe, animal"
goat,"capricorn, zodiac",[128016],🐐,"goat, capricorn, goats, animal"
camel,"dromedary, hump",[128042],🐪,"camel, dromedary, desert, animal"
two-hump camel,"bactrian, camel, hump",[128043],🐫,"camel, bactrian, desert, animal"
elephant,elephant,[128024],🐘,"elephant, animal"
rhinoceros,rhinoceros,[129423],🦏,"animal, rhinoceros, rhino, animal"
mouse face,"face, mouse",[128045],🐭,"mouse, mice, mouse face, rodent, animal"
mouse,mouse,[128001],🐁,"mouse, mice, rodent, rodents, animal"
rat,rat,[128000],🐀,"rat, rats, rodent, rodents, animal"
hamster face,"face, hamster, pet",[128057],🐹,"hamster, mouse, hamsters, mice, rodent, rodents, animal, pet"
rabbit face,"bunny, face, pet, rabbit",[128048],🐰,"bunny, bunnies, rabbit, rabbits, hares, hare, pet, animal"
rabbit,"bunny, pet",[128007],🐇,"rabbit, bunny, rabbits, bunnies, hare, hares, pet, animal"
chipmunk,chipmunk,[128063],🐿,"chipmunk, chipmunks, animal"
bat,"bat, vampire",[129415],🦇,"bat, vampire, dracula, bats, animal"
bear face,"bear, face",[128059],🐻,"bear, bears, animal"
koala,bear,[128040],🐨,"koala, bear, animal, koalas, bears"
panda face,"face, panda",[128060],🐼,"panda, pandas, bear, bears, animal"
paw prints,"feet, paw, print",[128062],🐾,"pawprint, print, feet"
turkey,turkey,[129411],🦃,"turkey, bird, animal, turkeys, birds"
chicken,chicken,[128020],🐔,"chicken, bird, chickens, hen, hens, birds, animal"
rooster,rooster,[128019],🐓,"rooster, roosters, animal, animals"
hatching chick,"baby, chick, hatching",[128035],🐣,"baby chick, chicken, hatch, hatching, chick"
baby chick,"baby, chick",[128036],🐤,"baby chick, chicken, bird, chick"
front-facing baby chick,"baby, chick",[128037],🐥,"baby chick, chicken, chick"
bird,bird,[128038],🐦,"bird, chick, animal"
penguin,penguin,[128039],🐧,"penguin, bird, chick, animal"
dove,"bird, fly, peace",[128330],🕊,"dove, bird, peace, animal"
eagle,"bird, eagle",[129413],🦅,"eagle, bird, animal"
duck,"bird, duck",[129414],🦆,"duck, bird, animal"
owl,"bird, owl, wise",[129417],🦉,"bird, owl, wise, wisdom, animal"
frog face,"face, frog",[128056],🐸,"frog, animal"
crocodile,crocodile,[128010],🐊,"crocodile, animal, gator"
turtle,"terrapin, tortoise, turtle",[128034],🐢,"turtle, tortoise, animal, terrapin"
lizard,"lizard, reptile",[129422],🦎,"lizard, reptile, animal"
snake,"bearer, ophiuchus, serpent, zodiac",[128013],🐍,"snake, serpent, cobra, python, reptile, animal"
